c
drž
drža
držav
klet
krv
minu
minut
mrač
nag
noču
nočut
nomas
nozr
nozrn
pok
pokl
pokli
pos
posr
posre
pra
praz
prep
prepu
pros
proso
proz
prozo
sl
sla
slad
su
suh
tež
tiso
tisoč
traj
trd
vis
viso
visok
zr
zre
zrel
krepk
mas
čevan
narsk
govaš
žins
žinsk
žniš
žnišk
njena
čarsk
cen
cent
centi
harsk
hog
hogr
hogra
kilog
kletn
krvn
mastn
metr
metrs
mil
mili
milij
mračn
prazn
sladk
sr
sre
sred
sredn
težk
trajn
voj
voja
vojaš
žans
žansk
žj
čans
čansk
žil
čal
žnic
nitva
čanj
zenj
ženos
ževan
final
pri
prik
skima
nov
ženc
ho
vo
niški
va
zel
fina
kni
kilo
ten
tr
žu
zko
nokr
nostm
či
zil
žni#
nitvi
skim#
ska
ska#
čenim
stv
kli#
žuj
gim
žitva
sv
žar
nicam
m
nici
nici#
žite
nili
nikom
niki
mast
kla#
ve
hač
km
kme
kmet
čenih
kil
met
sko
sko#
ti
tem
nila
nila#
nili#
gih
gih#
šic
gin
gog
gogl
gogla
gopro
žnik
nitev
tač
tnik
znic
ženk
zkos
zkost
bog
gru
priko
sp
spa
span
kač
ščak
čin
čjak
čene
skem
ske#
sti
ši
ščeči
gouhi
žena
žena#
čeči
čečni
gasti
beli
dragi
drugi
krvni
nagi
novi
suhi
težki
tihi
togi
trdi
žasti
živi
žji
zreli
zavi
neni
tavi
čani
žitvi
niško
nita
nita#
sobne
tni
ste
f
zl
nika
pu
zim
zita
zita#
nice
nice#
nost#
po
teni
žnima
nika#
čečne
mo
čja
taj
tih#
ter
ničar
čem
ziš
šjim
šja
ženem
žene#
ženo#
benim
zenim
zkim
zeče
zečim
žitev
čeni#
van
ževal
žuje
knil
kne
nok
niča
čj
skeg
skega
skimi
turni
šje
beno
dnevo
hov
nari
turno
tir
tira
cn
žnim#
žna
žna#
tri
niš
ta
trir
bi
niv
niva
niva#
net
nimo
nimo#
nite#
četa
četa#
šjih
šjih#
žen#
benih
zenih
zkih
zkih#
zečih
narst
prol
prole
ščako
čino
stene
har
tov
tima#
žno#
zavo
sta
tavo
gar
gi#
de
nilo
njen#
bene
čečno
zene
zke
nočne
čano
bogi
kmeti
čjaki
ps
psk
te
trira
šk
ničn
nejša
zimo
zimo#
zite
zite#
ženeg
žitve
žnica
žence
nic#
nicah
než
tim#
kan
nico
nico#
ži#
žnem
žne#
dnevi
činov
r
niku
niku#
nik#
koh
koho
kohol
ti#
narj
nikov
nikih
niki#
kani
stil
hav
znik
br
bra
brat
tra
ničk
žila
žila#
žili
žili#
žim
žita
žita#
čala
čala#
čali
čali#
tal
tnil
šji#
gima
gima#
beni#
zeni#
zki#
zeči#
havo
havos
hic
ščan
ščanj
šjak
nark
narn
benj
gink
godn
godne
goj
goje
gojez
gope
gopet
gos
gost
gouš
ženj
čanje
šar
šari
šaric
šavo
šavos
tanj
njiv
njivo
can
canj
zenje
zišč
žnež
čenin
tnež
tnic
tnos
tnost
bogin
bud
budn
budno
cil
cili
cilin
dre
drem
drema
gre
gred
grm
grun
grunt
grup
han
hanj
hovk
kol
kolo
kolon
kup
kupo
kupol
mara
marat
mask
mesec
mrak
nenj
noc
nocv
nocve
noj
noja
nojar
nozv
nozvo
penz
penzi
pl
pla
plat
platn
prikl
prod
produ
proi
proiz
prs
prst
prstn
pul
puli
puš
pušč
pušča
ra
rav
ravn
ravni
re
res
resn
resni
senc
ses
sest
škor
spanj
stav
steb
sve
svet
svetl
svo
svob
svobo
ted
tedn
tedni
tenos
vod
vodn
vodni
zač
zaj
zaje
zajed
zapo
zapor
žark
zas
zast
zastr
dank
zavos
zic
zovo
zovod
ščar
ščark
ščen
ščenk
stič
stiče
stos
stost
benos
binic
čič
kod
kodl
kodla
tavos
čanos
klin
klos
klost
čevo
čevod
nir
tnj
tnja
tnjak
top
topl
topla
ški
skemu
skem#
noz
narje
ziva
ziva#
tiv
tiran
živa
živa#
gouhc
goušc
harj
hk
žarj
žk
danc
kc
nirj
zi#
šav
kul
bl
teno
čnic
bin
či#
gu
neta
neta#
njujt
klo#
cni
čeče
šc
tanc
tc
krožc
mesc
pulij
sn
sestr
škorn
spanc
stavk
stebr
čenc
bk
ku
niške
pen
čena
čena#
nostj
tivi
gi
kle#
če#
zila
zila#
zili
zili#
zela
zela#
zeli
zeli#
gim#
žneg
žnega
žnimi
sobna
dneva
čanji
zenji
stit
pt
fa
garn
ga#
ven
vent
kaniz
ts
tis
pin
tet
guj
nil#
nilo#
čem#
ščeče
čečim
belim
nagim
novim
suhim
tenim
tihim
togim
trdim
zeče#
živim
žjim
zavim
nenim
tavim
čanim
klim
šica
znica
ženka
čni
pski
ga
do
zov
nični
mol
molo
č#
kel
kel#
gem
žje
dan#
vir
vira
ša
pto
tetn
dne#
go#
zam
tip
tsk
št
šta
čn
vans
vansk
čnik
klor
čenem
čene#
čeno#
min
tat
bla
bla#
bli
bli#
bet
žimo
žimo#
žite#
češ
češ#
čeva#
čemo
čemo#
čete
čete#
čej
čejo
čejo#
čat
zla
zla#
zli
zli#
knit
šjima
šje#
gouhe
sobno
čečih
zkima
belih
nagih
novih
suhih
tihih
togih
trdih
živih
žjih
žjih#
zavih
stih
stih#
nenih
tavih
čanih
klih
klih#
gosti
žnici
žniko
tniko
ženca
ženci
tosti
tern
stim
pi
bini
teg
tega
tega#
timi#
tram
kula
tipl
bina
mi
sti#
civ
civa
civa#
cim
cimo
cimo#
cite#
gaste
bele
drage
druge
krvne
nage
nove
suhe
težke
tihe
toge
trde
žaste
žive
zrele
nene
tave
čane
hača
tača
tivir
ba
di
tativ
fin
stena
ves
vest
tem#
nopr
nopra
tati
kovn
pa
čit
niti
niti#
nit#
nile
nile#
zim#
ziš#
ham
šjim#
šja#
žnemu
žnem#
bena
bena#
zena
zena#
zkim#
zka
zka#
zko#
nočna
zeča
zeča#
noči
noči#
hi#
hače
dnevu
tače
čl
člo
člov
člove
kača
kače
bum
kov
zami
cita
cita#
tene
nič
nike
nike#
nica#
ge#
kar
tenih
znim
nod
terna
ms
msk
tar
nostn
trs
trsk
man
ds
dsk
čeneg
ver
vi
kovni
kla
to#
zo
ščal
naril
guje
niš#
nij
nijo
nijo#
zel#
cal
cnil
cne
žujet
knila
knili
knet
hal
tel
geg
gega
gega#
gimi
gimi#
čeči#
beli#
nagi#
noče
novi#
suhi#
tihi#
togi#
trdi#
živi#
žji#
zavi#
neni#
tavi#
čani#
žnice
čanja
ža#
zenja
gredi
tema
ban
kansk
vani
zet
garne
cite
cin
soc
soci
socia
steno
pta
pta#
ptom
pti
gič
nejšo
zivn
ventn
gičn
znih
znih#
klori
tipli
kali
bs
bst
bem
beta
beta#
bit
neš
neš#
nev
neva
neva#
nemo
nemo#
nete
nete#
nejo
nejo#
njujv
njujm
njuj#
tnit
zem
šjem
benem
bene#
beno#
zenem
zene#
zeno
zeno#
zkem
zke#
nočno
zečem
he
hači
šici
šici#
šicam
žnika
žniki
nilom
tači
tniki
znici
ženki
lj
lju
ljud
j
ju
jud
dnem
žem
kači
binam
tski
neže
čim
čita
čita#
tan
turo
zijo
zijo#
temu
temu#
vaniz
tetne
zne
kovi
ma
vin
bo
vestr
kans
kal
geb
viran
por
tno
čji
gebr
vac
vaci
vacij
turne
gij
trama
fi
škim
ništ
niška
mu
ž#
narit
tava
tava#
ha#
gem#
čeče#
dneve
he#
hica
narka
narna
ginka
žina
šce
tance
tce
tnika
žneže
tneže
tnica
grupa
harje
hovka
maska
mesce
senca
zača
žarje
žarka
dance
danka
zica
čence
čiče
kce
klina
nirje
nat
mač
gam
molog
teni#
nop
gebra
ništv
bini#
ničko
tru
ters
nopo
nopol
l
novar
čnej
stila
stili
stita
čnica
tim
trui
čnejš
tral
bans
bansk
gars
garsk
štab
port
node
nodem
mon
fat
pins
pinsk
tersk
tišk
tin
fs
fsk
dor
dorf
dorfs
kars
karsk
teš
tešk
dav
mološ
zni#
tos
tost
bil
naric
kovin
čnos
čnost
kon
var
trac
din
dem
demo
demok
ču
ških
ških#
fo
kano
šči#
bel#
žiti
žiti#
žit#
žil#
žile
žile#
žilo
žilo#
žim#
žiš
žiš#
že#
žij
žijo
žijo#
čati
čati#
čat#
čal#
čale
čale#
čalo
čalo#
tala
tala#
tali
tali#
tnila
tnili
tnet
st#
ževat
žujem
žujt
knem
kneta
haj
šjeg
šjega
šjimi
gemu
gemu#
sobe
soben
beneg
zeneg
zkeg
zkega
zkimi
zečeg
žjima
žje#
stima
klima
hači#
šice
šice#
šjako
benje
gč
gča
gčas
gino
ženje
žnico
žnic#
čanju
čanj#
tači#
tanje
canje
čarst
zenju
zenj#
zišče
znice
zniko
žencu
ženke
bogo
brato
časo
grmo
hanje
harst
hko
hovi
hovin
kart
karto
kmeto
krogo
mrako
nenje
san
sanj
sno
svi
svil
tono
trako
žari
žaric
žko
kači#
bko
čjako
pini
trski
mski
dski
čarj
čno
g#
dni#
tiš
zir
zira
bumi
zamir
gir
gira
pir
pira
kim
kimi
pinis
ške
pskim
stvo
čiv
čiva
čiva#
čimo
čimo#
čite
čite#
teri
bumin
turol
hi
vano
tura
čeno
kimis
truis
get
tid
bine
bine#
kuli
kulir
harm
harmo
pič
fid
nja
traci
kulac
time
miz
ge
zeta
zeta#
ščit
cat
zil#
zile
zile#
zilo
zilo#
zele
zele#
zelo
zelo#
hat
tit
ščeča
gouha
čeča
čeča#
čečna
gasta
bela
bela#
draga
druga
krvna
naga
naga#
nova#
suha
suha#
teno#
težka
tiha
tiha#
toga
toga#
togo
togo#
trda
trda#
žasta
žasto
žjim#
žja
žja#
zrela
zava
zava#
zavo#
sta#
nena
nena#
tavo#
čana
čana#
klim#
h#
hača#
benji
ženji
tača#
tanji
canji
zišči
grede
hanji
nenji
čuj
pskih
kanol
ze#
ton
bu
nova
ški#
fon
tidi
neža
neža#
nežem
neži
ta#
zen#
nički
dni
klo
tist
pske
si
geti
tidis
timat
stiv
stiva
stimo
stite
sten#
ptu#
ptom#
ptov
ptov#
ptoma
ptih
ptih#
pti#
te#
čjim
nične
c#
giran
kulat
porta
moni
monid
piran
fona
fonam
kus
traz
trazv
stim#
čen#
nička
